title,score,id,url,comms_num,created,body,timestamp
"TIL: In 1889 more than 50,000 people rushed to claim a piece of the available two million acres in the unassigned lands in the present-day U.S. state of Oklahoma, founding Oklahoma City.",91,bg5lis,https://en.wikipedia.org/wiki/Land_Rush_of_1889,20,1555958011,,4/22/2019 13:33
"TIL: Pedi people (a tribe in South Africa) wear Scottish kilts. Citing oral history, the use of kilts dates to 1879. They say that's when the tribe lost a battle because its warriors thought kilted Scots leading a British army were women and held their fire until realizing their mistake too late.",714,bfz1ar,https://www.latimes.com/archives/la-xpm-1997-oct-19-mn-44313-story.html,31,1555916320,,4/22/2019 1:58
"TIL that farmed salmon can get depression, a state which causes them to stop eating and radically changes their physical attributes",324,bg0p6o,https://oceana.org/blog/deaf-depressed-and-deformed-top-5-reasons-salmon-farming-makes-unhealthy-fish,31,1555930610,,4/22/2019 5:56
"TIL In 1989, Russian psychic E. Frenkel was run over by a train while attempting to stop it with his psychic-biological power, after previously ‘successfully’ stopping a car and streetcar.",187,bg2br9,http://www.aintnowaytogo.com/trainEsp.htm,22,1555941016,,4/22/2019 8:50
"TIL To solve the problem of communicating to humans 10,000 years from now about nuclear waste sites one solution proposed was to form an atomic priesthood like the catholic church to preserve information of locations and danger of nuclear waste using rituals and myths.",13843,bfrqbm,https://www.semiotik.tu-berlin.de/menue/zeitschrift_fuer_semiotik/zs_hefte/bd_6_hft_3/#c185966,786,1555870258,,4/21/2019 13:10
"TIL: That the original ""Snake Oil Salesman"" wasn't convicted of selling snake oil, he was convicted of selling FAKE snake oil. Oil from Chinese Water Snakes was considered a legit medicine at the time, but Clark Stanley was convicted in 1917 of selling fake snake oil.",6483,bfsich,https://en.wikipedia.org/wiki/Snake_oil#From_cure-all_to_quackery,132,1555874515,,4/21/2019 14:21
"TIL that the Yakuza is the second largest criminal organization in the world (by revenue), despite Japan being ranked 11th in worldwide population.",407,bfzr3o,http://fortune.com/2014/09/14/biggest-organized-crime-groups-in-the-world/,56,1555922719,,4/22/2019 3:45
TIL M&M's are named after it's founder's Mars & Murrie,146,bg2oqv,https://en.wikipedia.org/wiki/M%26M%27s,11,1555943002,,4/22/2019 9:23
"TIL At the top soil layer, earthworms convert fallen leaves to humus. That’s a good thing if you’re growing a garden, but, in a natural forest, it causes a fast-tracking of the release of nutrients instead. Earthworms disrupt the mutually beneficial symbiotic relationship between fungi and plants",39,bg75mo,https://earthsky.org/earth/european-earthworms-change-u-s-forests,6,1555965921,,4/22/2019 15:45
"TIL: That the gas build up from a decomposing corpse, can sometimes cause caskets to explode in mausoleums. So sometimes the caskets come with ""burpers"" like Tupperware.",38,bg7pc1,https://www.loveliveson.com/pros-and-cons-of-a-mausoleum/,7,1555968724,,4/22/2019 16:32
"TIL that Raymond Charles lost his face in an electrical accident in 1919, and only went out at night due to his disfigurement. Locals called him ""Charlie No-Face.""",27,bg8gd9,https://en.wikipedia.org/wiki/Raymond_Robinson_(Green_Man),6,1555972677,,4/22/2019 17:37
TIL that Australia has the highest skin cancer rate in the world,77,bg4ll8,https://en.wikipedia.org/wiki/Australia,20,1555952996,,4/22/2019 12:09
TIL that Salieri was actually very respected during his life and was chief court composer on Habsburg Imperial Court. He and Mozart mutually respected each others and myth that Salieri poisoned Mozart was actually originated from play by Pushkin called Mozart and Salieri from 1831,40,bg72kl,https://www.theguardian.com/music/2003/dec/19/classicalmusicandopera.italy,5,1555965493,,4/22/2019 15:38
"TIL there is a 400-year gap between the end of events in the Old Testament of the Bible and the start of events in the New Testament. Some Protestant theologians refer to this period as ""400 Silent Years"" during which God did not give humankind any new information.",86,bg3xyu,https://en.wikipedia.org/wiki/Intertestamental_period,41,1555949643,,4/22/2019 11:14
"TIL about an indigenous kids spinning top street game in Lombok, Indonesia, called Mantek. Each region of Indonesia has its own name and rules. The kids make the tops themselves from Tamarind trees. It's played here in North Lombok by survivors of last years devastating earthquakes",48,bg66qy,https://youtu.be/4a5CLTd2Fds,5,1555960995,,4/22/2019 14:23
"TIL: Spiders have thrived in the ocean, but there are few ocean-dwelling insects and we're not sure why.",100,bg3540,http://discovermagazine.com/1997/mar/whereinsectsfear1081,19,1555945486,,4/22/2019 10:04
"TIL The Kindlifresser, or 'Child Eater', is one of oldest statues in Bern, Switzerland and nobody is sure why it has a baby half stuffed into his mouth.",171,bg176u,https://en.wikipedia.org/wiki/Kindlifresserbrunnen,17,1555934066,,4/22/2019 6:54
"TIL a flatworm, Baicalellia daftpunka, was named after Daft Punk for having a similar shape to their helmets",23,bg8e3h,https://onlinelibrary.wiley.com/doi/full/10.1111/jzs.12243,1,1555972340,,4/22/2019 17:32
TIL: Movie Theaters actually make more money from ticket sales than they do from concessions. The opposite is a common myth.,20,bg8pga,https://www.seancast.com/business/movies-theaters-money-myth/,28,1555974044,,4/22/2019 18:00
"TIL In China, humans manually pollinate flowers where bees are scarce.",118,bg24f7,https://www.huffingtonpost.ca/entry/humans-bees-china_n_570404b3e4b083f5c6092ba9,19,1555939795,,4/22/2019 8:29
"TIL that sleeping on the job is acceptable in Japan, as it's viewed as exhaustion from working hard.",87,bg32uq,https://en.wikipedia.org/wiki/Sleeping_while_on_duty,13,1555945158,,4/22/2019 9:59
TIL Tens of thousands of Mazda6's were recalled because spiders kept infesting the fuel systems and increasing the risk of fires.,25,bg7yjq,https://www.nhtsa.gov/recalls?nhtsaId=14V114000,6,1555970056,,4/22/2019 16:54
